Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Зима в Карелии 3 дня,Карелия,Зима,11,13,567314.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,7,11,297304.0,4
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,7,16,365680.0,5
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,6,10,223680.0,1
Зима в Карелии 3 дня,Карелия,Зима,14,15,811580.0,3
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,11,6,408452.0,1
Ледниковый период на зимнем Байкале,Байкал,Зима,6,13,347820.0,3
Кавказ стал ближе,Кавказ,Лето,7,11,336266.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,7,17,394632.0,5
Центр России: экскурсии по Туле,Тульская область,Зима,3,12,127416.0,4
Зимние узоры Байкала,Байкал,Зима,2,4,49520.0,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,13,18,972400.0,3
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Лето,3,7,94239.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,11,16,616880.0,3
Весна в Карелии: природа и культура,Карелия,Весна,12,18,793920.0,3
Тайны Урала: золотое кольцо Урала,Свердловская область,Весна,4,11,161439.99999999997,4
Сплав по реке к Байкалу,Байкал,Лето,9,16,664560.0,2
Активный треккинг на Байкале,Байкал,Лето,11,17,856130.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,9,8,288720.0,2
Тайга и озера: путешествие по Тверской области,Тверская область,Весна,7,18,402640.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,13,9,619294.0,4
Зимние кочевники Байкала,Байкал,Зима,2,16,138080.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,14,6,408632.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Осень,2,12,91424.0,2
Калмыкия на 100%,Калмыкия,Весна,7,3,135520.0,3
Дагестан стал ближе,Дагестан,Осень,3,6,85800.0,5
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,8,3,150224.0,5
Лед Байкала и величие Саян,Байкал,Зима,3,5,85350.0,4
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,9,13,556830.0,5
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,1,4,27024.0,5
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Зима,6,16,437856.0,3
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Лето,2,16,117888.0,3
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Весна,3,19,207840.0,2
Активный треккинг на Байкале,Байкал,Лето,3,8,125760.0,4
От бурного Терека до седого Каспия,Кавказ,Лето,11,7,376266.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,2,6,57440.0,4
Урал: познайте дикие леса и горы,Свердловская область,Осень,4,10,154080.0,3
Нижегородские усадьбы,Нижегородская область,Лето,1,5,24630.0,5
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Лето,2,8,71072.0,2
Кавказ стал ближе,Кавказ,Осень,2,14,110272.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Весна,4,17,219520.0,2
Поход к подножию Белухи. Алтай,Алтай,Лето,5,18,361220.0,4
Центр России: экскурсии по Туле,Тульская область,Весна,2,3,35840.0,2
Большое путешествие по Смоленской земле,Смоленская область,Весна,10,18,575200.0,2
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,1,6,27556.000000000004,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Лето,13,20,925340.0,2
Дагестан стал ближе,Дагестан,Лето,3,9,119775.0,3
Тайга и озера: путешествие по Тверской области,Тверская область,Весна,14,20,879200.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,11,8,350064.0,5
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,1,20,89800.0,5
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Осень,1,3,19672.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,6,13,309444.0,4
Большое путешествие по Смоленской земле,Смоленская область,Лето,12,19,787128.0,5
Байкал: активный тур на круглый год,Байкал,Лето,9,6,305460.0,5
Поход к подножию Белухи. Алтай,Алтай,Лето,7,12,360472.0,5
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,9,6,276732.0,1
Ледовый экспресс Байкала,Байкал,Зима,11,9,475310.0,4
Карельские узоры,Карелия,Весна,5,21,377600.0,3
Скандинавская сказка: тур по Карелии,Республика Карелия,Осень,7,21,543928.0,4
Большое путешествие по Смоленской земле,Смоленская область,Весна,12,14,563520.0,4
Скандинавская сказка: тур по Карелии,Республика Карелия,Весна,7,8,244720.0,2
Тайны Урала: золотое кольцо Урала,Свердловская область,Зима,7,13,327438.99999999994,2
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,11,7,335302.00000000006,5
Калуга и другие города Центральной России,Калужская область,Весна,3,10,105600.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,5,11,206860.0,3
Нижегородские загадки.,Нижегородская область,Лето,2,10,78520.0,4
Сибирские каникулы,Сибирь,Зима,5,3,101660.0,2
Ледовый экспресс Байкала,Байкал,Зима,4,13,231880.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,14,10,539280.0,5
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Осень,14,11,751072.0,4
Тайга и озера: путешествие по Тверской области,Тверская область,Весна,7,20,439600.0,1
Байкал: активный тур на круглый год,Байкал,Весна,2,17,142400.0,4
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,10,3,187780.0,5
Саяны: осенние краски,Республика Тыва,Осень,10,11,481919.99999999994,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,9,12,478800.0,2
Нижегородские загадки.,Нижегородская область,Весна,10,16,522400.0,5
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Осень,4,20,357440.0,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,5,7,146599.99999999997,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,5,14,329300.0,2
Урал: познайте дикие леса и горы,Свердловская область,Осень,12,12,530687.9999999999,3
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Осень,6,11,248232.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Лето,6,6,170124.0,2
Ледниковый период на зимнем Байкале,Байкал,Зима,9,17,654570.0,3
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,7,10,293860.0,5
Золотая осень в Карелии,Карелия,Осень,11,9,429176.0,4
Золотая осень в Карелии,Карелия,Осень,14,15,817040.0,1
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,9,18,531936.0,4
Зимние кочевники Байкала,Байкал,Зима,6,17,436380.0,4
Волшебный лед Ольхона,Байкал,Зима,10,8,395200.0,4
Дагестан стал ближе,Дагестан,Зима,14,5,355250.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Осень,12,13,622944.0,4
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,14,12,765632.0,5
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,1,14,65860.0,4
Ледниковый период на зимнем Байкале,Байкал,Зима,7,3,147490.0,5
От бурного Терека до седого Каспия,Кавказ,Весна,13,9,495040.0,4
Тайны Урала: золотое кольцо Урала,Свердловская область,Лето,9,14,475434.0,5
Сказочная осень в Татарстане,Татарстан,Осень,12,17,701808.0,4
Знакомство с Сахалином,Сахалин,Лето,5,9,241520.0,3
Северное сияние осенью: Мурманск,Мурманская область,Осень,2,14,110272.0,3
В Карелию летом на 4 дня,Карелия,Лето,9,8,338976.0,4
Сплав по реке к Байкалу,Байкал,Лето,1,21,93790.0,2
Кавказ! Жили-были,Кавказ,Осень,11,7,358248.0,4
Золотая осень в Карелии,Карелия,Осень,14,8,501088.0,5
Северное сияние осенью: Мурманск,Мурманская область,Осень,10,6,293440.0,3
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,10,17,816720.0,3
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Лето,6,3,117456.0,2
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Осень,9,21,652464.0,2
Северное сияние осенью: Мурманск,Мурманская область,Осень,1,7,32568.0,1
Калининградская область: исторические маршруты,Калининградская область,Лето,5,8,177680.0,3
Камчатка: природа и активные виды отдыха,Камчатка,Весна,3,19,262560.0,1
Волшебный лед Ольхона,Байкал,Зима,3,21,262470.0,4
